cost_usd,item_id,latency_ms,llm_calls,ok,system,tokens_total,topic,topics_n
0.0001341,F001,4466.521100010141,3,True,LG,711,ai_chip_demand;earnings;guidance,3
5.295e-05,F001,2686.977699995623,1,True,TB,272,ai_chip_demand;earnings;guidance;big_tech_financial_impact,4
0.0001458,F002,3527.3325000016484,3,True,LG,762,general_market;inflation,2
5.145e-05,F002,1097.2233999927994,1,True,TB,286,monetary_policy;inflation;consumer_sentiment,3
0.00014895,F003,3048.0974999954924,3,True,LG,768,earnings;guidance;regulation;general_market,4
4.86e-05,F003,3002.948000008473,1,True,TB,276,earnings;guidance;regulation,3
0.00016199999999999998,F004,3288.100100005977,3,True,LG,801,general_market;inflation,2
5.6399999999999995e-05,F004,1839.1325999982655,1,True,TB,301,loan_loss_provisions;inflation;bank_financial_health;consumer_sentiment,4
0.00015165,F005,4024.227299989434,3,True,LG,780,ai_chip_demand;earnings;guidance;general_market,4
5.88e-05,F005,2429.1801000072155,1,True,TB,296,ai_chip_demand;earnings;guidance;consumer_sentiment;big_tech_financial_impact,5
0.0001446,F006,3976.6859999945154,3,True,LG,763,opec_production_cuts;general_market;inflation,3
5.07e-05,F006,714.1593000123976,1,True,TB,284,opec_production_cuts;global_oil_prices,2
0.00015764999999999998,F007,3232.603200012818,3,True,LG,808,general_market;earnings;ai_chip_demand;guidance,4
5.4e-05,F007,1195.274999990943,1,True,TB,297,big_tech_financial_impact;earnings;guidance,3
0.0001482,F008,3028.360900003463,3,True,LG,763,general_market;inflation,2
5.46e-05,F008,965.2080999949249,1,True,TB,292,retail_sales;consumer_sentiment;monetary_policy;inflation,4
0.00015194999999999998,F009,3637.7033999888226,3,True,LG,791,earnings;guidance;general_market,3
5.13e-05,F009,1230.8379000023706,1,True,TB,294,earnings;guidance;general_market,3
0.00015225,F010,3161.0184000019217,3,True,LG,778,regulation;general_market;earnings,3
5.7600000000000004e-05,F010,1563.927800001693,1,True,TB,297,regulation;big_tech_financial_impact;earnings;guidance;general_market,5
0.0001461,F011,3199.6968999883393,3,True,LG,770,general_market;inflation,2
5.535e-05,F011,1710.2512999990722,1,True,TB,297,consumer_sentiment;inflation;monetary_policy;retail_sales,4
0.0001584,F012,2995.3950000053737,3,True,LG,798,earnings;general_market,2
5.2799999999999996e-05,F012,1153.2022999890614,1,True,TB,295,earnings;global_oil_prices;retail_sales,3
0.00015329999999999999,F013,2912.0743999956176,3,True,LG,797,earnings;ai_chip_demand;general_market,3
5.1599999999999994e-05,F013,1025.2102999947965,1,True,TB,293,earnings;big_tech_financial_impact,2
0.000147,F014,2701.164600002812,3,True,LG,776,general_market;opec_production_cuts,2
5.2199999999999995e-05,F014,867.7910000114935,1,True,TB,294,global_oil_prices;opec_production_cuts,2
0.0001548,F015,3529.9385999969672,3,True,LG,780,general_market,1
5.295e-05,F015,1254.602299988619,1,True,TB,293,loan_loss_provisions;bank_financial_health;earnings,3
0.00015989999999999998,F016,4209.720200000447,3,True,LG,820,ai_chip_demand;earnings;general_market,3
6.15e-05,F016,2057.6546999946004,1,True,TB,317,ai_chip_demand;earnings;guidance;big_tech_financial_impact;general_market,5
0.0001524,F017,2776.2519999960205,3,True,LG,794,inflation;general_market,2
5.2799999999999996e-05,F017,831.5718999947421,1,True,TB,298,inflation;monetary_policy;general_market,3
0.00015705,F018,4557.6468000072055,3,True,LG,810,earnings;general_market;guidance,3
5.684999999999999e-05,F018,922.4580000009155,1,True,TB,307,earnings;guidance;global_oil_prices;bank_financial_health,4
0.00014759999999999998,F019,3161.4161000034073,3,True,LG,780,general_market;inflation,2
5.325e-05,F019,793.0402999918442,1,True,TB,298,monetary_policy;inflation;consumer_sentiment,3
0.00015225,F020,2651.8336000008276,3,True,LG,787,earnings;guidance;general_market,3
5.429999999999999e-05,F020,793.964299999061,1,True,TB,296,earnings;guidance;consumer_sentiment;retail_sales,4
0.0001602,F021,3511.519599996973,3,True,LG,792,general_market;inflation,2
5.1599999999999994e-05,F021,1101.8174000055296,1,True,TB,290,monetary_policy;inflation;general_market,3
0.00017069999999999998,F022,2979.323100007605,3,True,LG,862,ai_chip_demand;earnings;general_market;guidance;regulation,5
5.82e-05,F022,851.2331999954768,1,True,TB,316,ai_chip_demand;earnings;guidance;bank_financial_health,4
0.0001791,F023,5125.311600000714,3,True,LG,906,regulation;general_market;earnings,3
6.39e-05,F023,1370.7932999968762,1,True,TB,348,regulation;big_tech_financial_impact;consumer_sentiment;general_market,4
0.00015975,F024,2947.9031000082614,3,True,LG,813,general_market;inflation,2
5.37e-05,F024,1077.9401999898255,1,True,TB,304,monetary_policy;inflation;general_market,3
0.0001587,F025,2900.3697999869473,3,True,LG,863,inflation;general_market,2
5.909999999999999e-05,F025,812.0633000071393,1,True,TB,340,inflation;retail_sales;consumer_sentiment,3
0.00017999999999999998,F026,2792.9158999904757,3,True,LG,969,opec_production_cuts;general_market;inflation,3
6.465e-05,F026,1022.2047999995993,1,True,TB,377,opec_production_cuts;global_oil_prices,2
0.00017729999999999997,F027,2761.755200001062,3,True,LG,957,earnings;regulation;general_market;guidance,4
